id_выдачи;id_книги;id_читателя;дата_выдачи;дата_возврата_план;дата_возврата_факт;статус
1;1;1;2025-06-01;2025-06-15;2025-06-14;Возвращена
2;2;2;2025-06-02;2025-06-16;NULL;Выдана
3;3;3;2025-06-03;2025-06-17;2025-06-18;Просрочена
4;1;4;2025-06-05;2025-06-19;NULL;Выдана
5;4;5;2025-06-07;2025-06-21;2025-06-20;Возвращена
6;5;6;2025-06-08;2025-06-22;NULL;Выдана
7;6;7;2025-06-10;2025-06-24;2025-06-23;Возвращена
8;2;8;2025-06-11;2025-06-25;NULL;Выдана
9;7;9;2025-06-12;2025-06-26;2025-06-27;Просрочена
10;8;10;2025-06-13;2025-06-27;NULL;Выдана
11;3;1;2025-06-14;2025-06-28;NULL;Выдана
12;9;2;2025-06-15;2025-06-29;2025-06-28;Возвращена
13;10;3;2025-06-16;2025-06-30;NULL;Выдана
14;4;4;2025-06-17;2025-07-01;2025-07-02;Просрочена
15;5;5;2025-06-18;2025-07-02;NULL;Выдана
