id_книги;название;автор;год;isbn;количество_экземпляров
1;Мастер и Маргарита;Булгаков М.А.;1967;978-5-17-118-123-4;5
2;Преступление и наказание;Достоевский Ф.М.;1866;978-5-04-108-456-7;4
3;Война и мир;Толстой Л.Н.;1869;978-5-17-096-789-0;3
4;Евгений Онегин;Пушкин А.С.;1833;978-5-04-112-345-6;6
5;Мёртвые души;Гоголь Н.В.;1842;978-5-17-101-234-5;4
6;Герой нашего времени;Лермонтов М.Ю.;1840;978-5-04-120-567-8;3
7;Отцы и дети;Тургенев И.С.;1862;978-5-17-089-123-4;5
8;Анна Каренина;Толстой Л.Н.;1878;978-5-04-101-234-5;3
9;Идиот;Достоевский Ф.М.;1869;978-5-17-113-456-7;4
10;Тихий Дон;Шолохов М.А.;1940;978-5-04-110-123-4;2
